date_inc,PctChg_Person,PctChg_Property,PctChg_Society,PctChg_Unspecified,PctChg_Total
2021-01-31,,,,,
2021-02-28,,,,,
2021-03-31,,,,,
2021-04-30,,,,,
2021-05-31,,,,,
2021-06-30,,,,,
2021-07-31,,,,,
2021-08-31,,,,,
2021-09-30,,,,,
2021-10-31,,,,,
2021-11-30,,,,,
2021-12-31,,,,,
2022-01-31,-0.040983606557377095,0.0117647058823529,-0.3711217183770883,-0.07347447073474467,-0.0802838766910623
2022-02-28,0.0732984293193717,0.07925531914893624,-0.31483870967741934,0.6483516483516483,0.06529209621993126
2022-03-31,0.11910112359550551,0.341831425598335,-0.17065217391304344,0.11125827814569544,0.15759524987629892
2022-04-30,0.005714285714285783,0.18336483931947067,-0.10495283018867929,-0.036322360953461974,0.06178489702517154
2022-05-31,-0.012924071082390909,-0.03181461115475259,-0.11779141104294477,-0.07855626326963905,-0.05262088581877289
2022-06-30,0.023178807947019875,0.1523229246001523,-0.09218950064020481,-0.010392609699769073,0.0682796801312282
2022-07-31,-0.1274074074074074,0.3202170963364994,-0.15688487584650113,-0.05660377358490565,0.12001450326323426
2022-08-31,-0.10204081632653061,0.32094477249044817,-0.21355932203389827,-0.11431411530815105,0.10264471980765677
2022-09-30,0.054744525547445244,0.20115332428765265,-0.19551681195516812,-0.12555555555555553,0.06789767262935187
2022-10-31,-0.1291866028708134,0.1716160220994476,-0.19899244332493704,0.011520737327188835,0.051687560270009536
2022-11-30,-0.029629629629629672,0.09978386167146969,-0.19158878504672894,-0.03911980440097795,0.022194304857621416
2022-12-31,-0.1343012704174229,0.2329411764705882,-0.07939189189189189,0.0410256410256411,0.11289961994187347
2023-01-31,0.079059829059829,0.3995016611295681,0.14800759013282727,0.06854838709677424,0.2720038582107547
2023-02-28,0.19268292682926824,0.3809758501724987,0.18455743879472686,-0.029333333333333322,0.2494623655913979
2023-03-31,0.07028112449799195,-0.08840635905389682,-0.11533420707732633,0.045292014302741324,-0.05193417396879674
2023-04-30,0.12689393939393945,-0.097444089456869,0.05138339920948609,-0.02355712603062421,-0.034051724137931005
2023-05-31,0.08346972176759415,0.06815415821501025,0.17107093184979139,-0.06105990783410142,0.061977267853313256
2023-06-30,0.11488673139158578,-0.2134831460674157,0.18335684062059232,-0.1038506417736289,-0.10249520153550862
2023-07-31,0.01018675721561979,-0.29316546762589923,0.041499330655957234,-0.1578947368421053,-0.20297831013272905
2023-08-31,0.06993006993007,-0.33184328161977383,0.10201149425287359,-0.05499438832772163,-0.20127474002012746
2023-09-30,0.12802768166089962,-0.272239480372776,0.17956656346749233,-0.044472681067344366,-0.1457132564841499
2023-10-31,0.15934065934065944,-0.11612142646625401,0.09591194968553451,-0.15945330296127558,-0.07078672290482302
2023-11-30,-0.001908396946564861,-0.1631182443498198,0.25433526011560703,-0.1323155216284987,-0.09647685374846371
2023-12-31,0.13626834381551367,-0.23600508905852413,0.0972477064220183,-0.24507389162561577,-0.16532744073925276
